Date,Day,Month,Quarter,Year,DayOfWeek,WeekOfYear
2024-04-09,9,4,2,2024,Tuesday,15
2024-09-02,2,9,3,2024,Monday,36
2024-08-21,21,8,3,2024,Wednesday,34
2024-01-10,10,1,1,2024,Wednesday,2
2024-09-03,3,9,3,2024,Tuesday,36
2024-09-05,5,9,3,2024,Thursday,36
2024-11-13,13,11,4,2024,Wednesday,46
2024-04-15,15,4,2,2024,Monday,16
2024-07-09,9,7,3,2024,Tuesday,28
2024-06-06,6,6,2,2024,Thursday,23
2024-02-27,27,2,1,2024,Tuesday,9
2024-05-31,31,5,2,2024,Friday,22
2024-04-18,18,4,2,2024,Thursday,16
2024-02-02,2,2,1,2024,Friday,5
2024-04-07,7,4,2,2024,Sunday,14
2024-08-30,30,8,3,2024,Friday,35
2024-10-14,14,10,4,2024,Monday,42
2024-08-18,18,8,3,2024,Sunday,33
2024-09-14,14,9,3,2024,Saturday,37
2024-08-06,6,8,3,2024,Tuesday,32
2024-06-14,14,6,2,2024,Friday,24
2024-05-13,13,5,2,2024,Monday,20
2024-09-20,20,9,3,2024,Friday,38
2024-08-17,17,8,3,2024,Saturday,33
2024-03-28,28,3,1,2024,Thursday,13
2024-01-01,1,1,1,2024,Monday,1
2024-10-18,18,10,4,2024,Friday,42
2024-03-02,2,3,1,2024,Saturday,9
2024-06-22,22,6,2,2024,Saturday,25
2024-03-01,1,3,1,2024,Friday,9
2024-02-17,17,2,1,2024,Saturday,7
2024-03-18,18,3,1,2024,Monday,12
2024-09-18,18,9,3,2024,Wednesday,38
2024-11-02,2,11,4,2024,Saturday,44
2024-07-19,19,7,3,2024,Friday,29
2024-04-27,27,4,2,2024,Saturday,17
2024-12-30,30,12,4,2024,Monday,1
2024-10-27,27,10,4,2024,Sunday,43
2024-08-25,25,8,3,2024,Sunday,34
2024-06-25,25,6,2,2024,Tuesday,26
2024-12-08,8,12,4,2024,Sunday,49
2024-01-06,6,1,1,2024,Saturday,1
2024-01-11,11,1,1,2024,Thursday,2
2024-12-21,21,12,4,2024,Saturday,51
2024-12-06,6,12,4,2024,Friday,49
2024-11-12,12,11,4,2024,Tuesday,46
2024-03-25,25,3,1,2024,Monday,13
2024-04-03,3,4,2,2024,Wednesday,14
2024-01-28,28,1,1,2024,Sunday,4
2024-08-03,3,8,3,2024,Saturday,31
2024-04-20,20,4,2,2024,Saturday,16
2024-12-02,2,12,4,2024,Monday,49
2024-01-31,31,1,1,2024,Wednesday,5
2024-12-20,20,12,4,2024,Friday,51
2024-02-14,14,2,1,2024,Wednesday,7
2024-04-10,10,4,2,2024,Wednesday,15
2024-06-23,23,6,2,2024,Sunday,25
2024-09-24,24,9,3,2024,Tuesday,39
2024-09-08,8,9,3,2024,Sunday,36
2024-01-27,27,1,1,2024,Saturday,4
2024-02-21,21,2,1,2024,Wednesday,8
2024-04-26,26,4,2,2024,Friday,17
2024-10-02,2,10,4,2024,Wednesday,40
2024-12-10,10,12,4,2024,Tuesday,50
2024-03-17,17,3,1,2024,Sunday,11
2024-12-17,17,12,4,2024,Tuesday,51
2024-01-29,29,1,1,2024,Monday,5
2024-01-25,25,1,1,2024,Thursday,4
2024-02-11,11,2,1,2024,Sunday,6
2024-06-17,17,6,2,2024,Monday,25
2024-05-30,30,5,2,2024,Thursday,22
2024-03-11,11,3,1,2024,Monday,11
2024-09-07,7,9,3,2024,Saturday,36
2024-12-05,5,12,4,2024,Thursday,49
2024-07-24,24,7,3,2024,Wednesday,30
2024-08-07,7,8,3,2024,Wednesday,32
2024-03-08,8,3,1,2024,Friday,10
2024-10-03,3,10,4,2024,Thursday,40
2024-08-19,19,8,3,2024,Monday,34
2024-05-25,25,5,2,2024,Saturday,21
2024-07-10,10,7,3,2024,Wednesday,28
2024-05-17,17,5,2,2024,Friday,20
2024-06-21,21,6,2,2024,Friday,25
2024-04-06,6,4,2,2024,Saturday,14
2024-08-28,28,8,3,2024,Wednesday,35
2024-01-14,14,1,1,2024,Sunday,2
2024-11-18,18,11,4,2024,Monday,47
2024-08-27,27,8,3,2024,Tuesday,35
2024-12-31,31,12,4,2024,Tuesday,1
2024-05-14,14,5,2,2024,Tuesday,20
2024-10-08,8,10,4,2024,Tuesday,41
2024-02-05,5,2,1,2024,Monday,6
2024-09-04,4,9,3,2024,Wednesday,36
2024-10-15,15,10,4,2024,Tuesday,42
2024-03-20,20,3,1,2024,Wednesday,12
2024-09-06,6,9,3,2024,Friday,36
2024-04-16,16,4,2,2024,Tuesday,16
2024-11-06,6,11,4,2024,Wednesday,45
2024-07-22,22,7,3,2024,Monday,30
2024-10-19,19,10,4,2024,Saturday,42
2024-07-11,11,7,3,2024,Thursday,28
2024-08-11,11,8,3,2024,Sunday,32
2024-04-19,19,4,2,2024,Friday,16
2024-08-15,15,8,3,2024,Thursday,33
2024-11-26,26,11,4,2024,Tuesday,48
2024-07-21,21,7,3,2024,Sunday,29
2024-12-28,28,12,4,2024,Saturday,52
2024-10-25,25,10,4,2024,Friday,43
2024-01-02,2,1,1,2024,Tuesday,1
2024-03-31,31,3,1,2024,Sunday,13
2024-09-11,11,9,3,2024,Wednesday,37
2024-10-26,26,10,4,2024,Saturday,43
2024-04-04,4,4,2,2024,Thursday,14
2024-10-13,13,10,4,2024,Sunday,41
2024-07-17,17,7,3,2024,Wednesday,29
2024-03-04,4,3,1,2024,Monday,10
2024-07-31,31,7,3,2024,Wednesday,31
2024-09-23,23,9,3,2024,Monday,39
2024-05-11,11,5,2,2024,Saturday,19
2024-03-21,21,3,1,2024,Thursday,12
2024-12-04,4,12,4,2024,Wednesday,49
2024-05-20,20,5,2,2024,Monday,21
2024-08-04,4,8,3,2024,Sunday,31
2024-05-06,6,5,2,2024,Monday,19
2024-11-17,17,11,4,2024,Sunday,46
2024-03-14,14,3,1,2024,Thursday,11
2024-02-19,19,2,1,2024,Monday,8
2024-10-10,10,10,4,2024,Thursday,41
2024-08-24,24,8,3,2024,Saturday,34
2024-04-14,14,4,2,2024,Sunday,15
2024-03-13,13,3,1,2024,Wednesday,11
2024-06-27,27,6,2,2024,Thursday,26
2024-07-14,14,7,3,2024,Sunday,28
2024-05-02,2,5,2,2024,Thursday,18
2024-05-22,22,5,2,2024,Wednesday,21
2024-11-22,22,11,4,2024,Friday,47
2024-10-23,23,10,4,2024,Wednesday,43
2024-05-23,23,5,2,2024,Thursday,21
2024-04-11,11,4,2,2024,Thursday,15
2024-11-30,30,11,4,2024,Saturday,48
2024-10-06,6,10,4,2024,Sunday,40
2024-01-17,17,1,1,2024,Wednesday,3
2024-10-31,31,10,4,2024,Thursday,44
2024-12-11,11,12,4,2024,Wednesday,50
2024-06-16,16,6,2,2024,Sunday,24
2024-10-17,17,10,4,2024,Thursday,42
2024-11-29,29,11,4,2024,Friday,48
2024-10-22,22,10,4,2024,Tuesday,43
2024-12-09,9,12,4,2024,Monday,50
2024-02-15,15,2,1,2024,Thursday,7
2024-02-22,22,2,1,2024,Thursday,8
2024-07-15,15,7,3,2024,Monday,29
2024-06-08,8,6,2,2024,Saturday,23
2024-03-07,7,3,1,2024,Thursday,10
2024-02-04,4,2,1,2024,Sunday,5
2024-01-09,9,1,1,2024,Tuesday,2
2024-08-02,2,8,3,2024,Friday,31
2024-08-31,31,8,3,2024,Saturday,35
2024-11-24,24,11,4,2024,Sunday,47
2024-08-29,29,8,3,2024,Thursday,35
2024-06-30,30,6,2,2024,Sunday,26
2024-03-24,24,3,1,2024,Sunday,12
2024-09-12,12,9,3,2024,Thursday,37
2024-09-21,21,9,3,2024,Saturday,38
2024-08-01,1,8,3,2024,Thursday,31
2024-07-16,16,7,3,2024,Tuesday,29
2024-06-12,12,6,2,2024,Wednesday,24
2024-08-23,23,8,3,2024,Friday,34
2024-03-12,12,3,1,2024,Tuesday,11
2024-11-21,21,11,4,2024,Thursday,47
2024-08-05,5,8,3,2024,Monday,32
2024-12-12,12,12,4,2024,Thursday,50
2024-02-16,16,2,1,2024,Friday,7
2024-08-10,10,8,3,2024,Saturday,32
2024-10-05,5,10,4,2024,Saturday,40
2024-03-26,26,3,1,2024,Tuesday,13
2024-09-16,16,9,3,2024,Monday,38
2024-06-20,20,6,2,2024,Thursday,25
2024-12-18,18,12,4,2024,Wednesday,51
2024-09-17,17,9,3,2024,Tuesday,38
2024-10-29,29,10,4,2024,Tuesday,44
2024-02-09,9,2,1,2024,Friday,6
2024-01-15,15,1,1,2024,Monday,3
2024-11-10,10,11,4,2024,Sunday,45
2024-03-15,15,3,1,2024,Friday,11
2024-02-13,13,2,1,2024,Tuesday,7
2024-12-01,1,12,4,2024,Sunday,48
2024-01-24,24,1,1,2024,Wednesday,4
2024-08-16,16,8,3,2024,Friday,33
2024-03-03,3,3,1,2024,Sunday,9
2024-12-03,3,12,4,2024,Tuesday,49
2024-12-19,19,12,4,2024,Thursday,51
2024-04-21,21,4,2,2024,Sunday,16
2024-06-29,29,6,2,2024,Saturday,26
2024-01-16,16,1,1,2024,Tuesday,3
2024-11-01,1,11,4,2024,Friday,44
2024-02-26,26,2,1,2024,Monday,9
2024-03-16,16,3,1,2024,Saturday,11
2024-06-09,9,6,2,2024,Sunday,23
2024-11-04,4,11,4,2024,Monday,45
2024-09-19,19,9,3,2024,Thursday,38
2024-08-13,13,8,3,2024,Tuesday,33
2024-06-07,7,6,2,2024,Friday,23
2024-08-14,14,8,3,2024,Wednesday,33
2024-12-26,26,12,4,2024,Thursday,52
2024-07-13,13,7,3,2024,Saturday,28
2024-09-27,27,9,3,2024,Friday,39
2024-04-17,17,4,2,2024,Wednesday,16
2024-07-26,26,7,3,2024,Friday,30
2024-12-25,25,12,4,2024,Wednesday,52
2024-01-26,26,1,1,2024,Friday,4
2024-02-03,3,2,1,2024,Saturday,5
2024-03-05,5,3,1,2024,Tuesday,10
2024-01-21,21,1,1,2024,Sunday,3
2024-02-10,10,2,1,2024,Saturday,6
2024-05-29,29,5,2,2024,Wednesday,22
2024-05-24,24,5,2,2024,Friday,21
2024-09-25,25,9,3,2024,Wednesday,39
2024-06-24,24,6,2,2024,Monday,26
2024-04-25,25,4,2,2024,Thursday,17
2024-11-16,16,11,4,2024,Saturday,46
2024-05-19,19,5,2,2024,Sunday,20
2024-12-16,16,12,4,2024,Monday,51
2024-11-20,20,11,4,2024,Wednesday,47
2024-02-25,25,2,1,2024,Sunday,8
2024-10-04,4,10,4,2024,Friday,40
2024-03-19,19,3,1,2024,Tuesday,12
2024-09-30,30,9,3,2024,Monday,40
2024-09-01,1,9,3,2024,Sunday,35
2024-01-07,7,1,1,2024,Sunday,1
2024-03-27,27,3,1,2024,Wednesday,13
2024-01-18,18,1,1,2024,Thursday,3
2024-07-25,25,7,3,2024,Thursday,30
2024-05-03,3,5,2,2024,Friday,18
2024-11-03,3,11,4,2024,Sunday,44
2024-04-05,5,4,2,2024,Friday,14
2024-03-09,9,3,1,2024,Saturday,10
2024-11-23,23,11,4,2024,Saturday,47
2024-06-04,4,6,2,2024,Tuesday,23
2024-09-10,10,9,3,2024,Tuesday,37
2024-02-08,8,2,1,2024,Thursday,6
2024-07-18,18,7,3,2024,Thursday,29
2024-03-29,29,3,1,2024,Friday,13
2024-05-12,12,5,2,2024,Sunday,19
2024-11-28,28,11,4,2024,Thursday,48
2024-12-29,29,12,4,2024,Sunday,52
2024-02-07,7,2,1,2024,Wednesday,6
2024-09-09,9,9,3,2024,Monday,37
2024-08-26,26,8,3,2024,Monday,35
2024-12-13,13,12,4,2024,Friday,50
2024-01-20,20,1,1,2024,Saturday,3
2024-04-28,28,4,2,2024,Sunday,17
2024-04-13,13,4,2,2024,Saturday,15
2024-06-18,18,6,2,2024,Tuesday,25
2024-02-20,20,2,1,2024,Tuesday,8
2024-06-13,13,6,2,2024,Thursday,24
2024-06-19,19,6,2,2024,Wednesday,25
2024-05-10,10,5,2,2024,Friday,19
2024-01-05,5,1,1,2024,Friday,1
2024-05-27,27,5,2,2024,Monday,22
2024-01-23,23,1,1,2024,Tuesday,4
2024-02-28,28,2,1,2024,Wednesday,9
2024-09-29,29,9,3,2024,Sunday,39
2024-12-27,27,12,4,2024,Friday,52
2024-10-21,21,10,4,2024,Monday,43
2024-08-22,22,8,3,2024,Thursday,34
2024-01-12,12,1,1,2024,Friday,2
2024-10-07,7,10,4,2024,Monday,41
2024-07-04,4,7,3,2024,Thursday,27
2024-12-22,22,12,4,2024,Sunday,51
2024-10-30,30,10,4,2024,Wednesday,44
2024-06-01,1,6,2,2024,Saturday,22
2024-03-10,10,3,1,2024,Sunday,10
2024-10-20,20,10,4,2024,Sunday,42
2024-02-06,6,2,1,2024,Tuesday,6
2024-02-24,24,2,1,2024,Saturday,8
2024-07-05,5,7,3,2024,Friday,27
2024-05-16,16,5,2,2024,Thursday,20
2024-07-06,6,7,3,2024,Saturday,27
2024-07-02,2,7,3,2024,Tuesday,27
2024-09-15,15,9,3,2024,Sunday,37
2024-01-22,22,1,1,2024,Monday,4
2024-07-03,3,7,3,2024,Wednesday,27
2024-07-23,23,7,3,2024,Tuesday,30
2024-07-20,20,7,3,2024,Saturday,29
2024-12-07,7,12,4,2024,Saturday,49
2024-06-03,3,6,2,2024,Monday,23
2024-06-11,11,6,2,2024,Tuesday,24
2024-11-11,11,11,4,2024,Monday,46
2024-08-12,12,8,3,2024,Monday,33
2024-05-01,1,5,2,2024,Wednesday,18
2024-10-11,11,10,4,2024,Friday,41
2024-08-08,8,8,3,2024,Thursday,32
2024-09-22,22,9,3,2024,Sunday,38
2024-12-15,15,12,4,2024,Sunday,50
2024-11-25,25,11,4,2024,Monday,48
2024-01-13,13,1,1,2024,Saturday,2
2024-02-23,23,2,1,2024,Friday,8
2024-10-24,24,10,4,2024,Thursday,43
2024-05-21,21,5,2,2024,Tuesday,21
2024-11-14,14,11,4,2024,Thursday,46
2024-04-12,12,4,2,2024,Friday,15
2024-06-26,26,6,2,2024,Wednesday,26
2024-10-09,9,10,4,2024,Wednesday,41
2024-07-28,28,7,3,2024,Sunday,30
2024-05-26,26,5,2,2024,Sunday,21
2024-12-24,24,12,4,2024,Tuesday,52
2024-07-08,8,7,3,2024,Monday,28
2024-05-04,4,5,2,2024,Saturday,18
2024-02-29,29,2,1,2024,Thursday,9
2024-09-28,28,9,3,2024,Saturday,39
2024-06-02,2,6,2,2024,Sunday,22
2024-05-15,15,5,2,2024,Wednesday,20
2024-06-28,28,6,2,2024,Friday,26
2024-04-29,29,4,2,2024,Monday,18
2024-11-19,19,11,4,2024,Tuesday,47
2024-02-12,12,2,1,2024,Monday,7
2024-09-13,13,9,3,2024,Friday,37
2024-11-15,15,11,4,2024,Friday,46
2024-06-05,5,6,2,2024,Wednesday,23
2024-10-12,12,10,4,2024,Saturday,41
2024-08-09,9,8,3,2024,Friday,32
2024-04-02,2,4,2,2024,Tuesday,14
2024-11-07,7,11,4,2024,Thursday,45
2024-03-22,22,3,1,2024,Friday,12
2024-03-30,30,3,1,2024,Saturday,13
2024-12-23,23,12,4,2024,Monday,52
2024-05-09,9,5,2,2024,Thursday,19
2024-04-30,30,4,2,2024,Tuesday,18
2024-07-12,12,7,3,2024,Friday,28
2024-01-03,3,1,1,2024,Wednesday,1
2024-05-05,5,5,2,2024,Sunday,18
2024-07-01,1,7,3,2024,Monday,27
2024-10-01,1,10,4,2024,Tuesday,40
2024-06-15,15,6,2,2024,Saturday,24
2024-04-24,24,4,2,2024,Wednesday,17
2024-02-01,1,2,1,2024,Thursday,5
2024-11-09,9,11,4,2024,Saturday,45
2024-11-05,5,11,4,2024,Tuesday,45
2024-09-26,26,9,3,2024,Thursday,39
2024-04-01,1,4,2,2024,Monday,14
2024-06-10,10,6,2,2024,Monday,24
2024-10-16,16,10,4,2024,Wednesday,42
2024-04-08,8,4,2,2024,Monday,15
2024-12-14,14,12,4,2024,Saturday,50
2024-02-18,18,2,1,2024,Sunday,7
2024-10-28,28,10,4,2024,Monday,44
2024-05-08,8,5,2,2024,Wednesday,19
2024-01-08,8,1,1,2024,Monday,2
2024-03-06,6,3,1,2024,Wednesday,10
2024-03-23,23,3,1,2024,Saturday,12
2024-11-08,8,11,4,2024,Friday,45
2024-08-20,20,8,3,2024,Tuesday,34
2024-07-27,27,7,3,2024,Saturday,30
2024-05-28,28,5,2,2024,Tuesday,22
2024-01-19,19,1,1,2024,Friday,3
2024-11-27,27,11,4,2024,Wednesday,48
2024-05-07,7,5,2,2024,Tuesday,19
2024-05-18,18,5,2,2024,Saturday,20
2024-07-07,7,7,3,2024,Sunday,27
2024-01-30,30,1,1,2024,Tuesday,5
2024-07-30,30,7,3,2024,Tuesday,31
2024-04-22,22,4,2,2024,Monday,17
2024-04-23,23,4,2,2024,Tuesday,17
2024-07-29,29,7,3,2024,Monday,31
2024-01-04,4,1,1,2024,Thursday,1
